Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
15;206;36.828217119377406;30.769465883286447;6.058751236090959;6.058751236090959
20;46;30.548692865888842;34.621079723135274;-4.072386857246432;4.072386857246432
24;213;56.86291765731315;67.67254379127709;-10.809626133963945;10.809626133963945
25;101;85.12767943036346;53.75854574537789;31.36913368498557;31.36913368498557
27;174;28.176947152836814;50.46365424669319;-22.286707093856375;22.286707093856375
29;201;90.8576752287355;63.727357057453965;27.130318171281537;27.130318171281537
39;205;83.41498307390377;86.26692913570352;-2.851946061799751;2.851946061799751
49;93;60.65981709038357;52.596376805998815;8.063440284384754;8.063440284384754
52;102;92.22503071070041;55.39994687216861;36.825083838531796;36.825083838531796
55;217;71.96637419342372;81.24515753726656;-9.278783343842846;9.278783343842846
57;216;85.14164158257863;92.97085363254664;-7.829212049968007;7.829212049968007
59;56;101.34819719049025;60.00527773650311;41.34291945398714;41.34291945398714
68;92;52.1302064015578;68.37083636603215;-16.24062996447435;16.24062996447435
71;71;61.652865961045414;56.73373250564428;4.919133455401138;4.919133455401138
73;111;88.770161200219;55.0112846187424;33.75887658147659;33.75887658147659
77;78;55.62977835588392;68.34862909535163;-12.718850739467705;12.718850739467705
82;68;118.59446317136783;136.83638475593597;-18.241921584568132;18.241921584568132
93;13;158.0938533836828;146.82618470395357;11.26766867972924;11.26766867972924
99;88;19.175001341243917;32.444444585681474;-13.269443244437557;13.269443244437557
111;80;99.12521271251;75.30929705593161;23.815915656578397;23.815915656578397
112;175;63.181758194847625;57.54013516577827;5.641623029069358;5.641623029069358
115;176;68.36153091614612;32.7848874006479;35.576643515498226;35.576643515498226
119;41;75.27989102642981;110.97224591057262;-35.692354884142816;35.692354884142816
125;85;62.744592517494134;59.34236114446419;3.4022313730299416;3.4022313730299416
128;171;65.44549203505703;65.1896570139042;0.2558350211528335;0.2558350211528335
130;115;40.89403690579587;37.97683811376523;2.9171987920306393;2.9171987920306393
