Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;log2;
2;100;2;1;sqrt;10.0
3;300;5;1;0.3;10.0
4;300;10;2;sqrt;20.0
5;100;10;1;sqrt;
6;100;5;1;log2;20.0
7;500;10;4;sqrt;
8;500;2;2;sqrt;20.0
9;500;5;2;sqrt;20.0
10;300;10;2;sqrt;10.0
11;100;5;4;log2;10.0
12;500;10;2;sqrt;
13;200;5;2;log2;10.0
14;500;10;1;0.3;
15;200;5;1;0.3;
16;300;5;2;0.3;20.0
17;300;10;1;sqrt;
18;100;5;4;0.3;
19;500;10;2;sqrt;10.0
20;500;10;4;sqrt;20.0
21;100;5;2;0.3;20.0
22;500;5;4;log2;10.0
23;300;5;4;sqrt;10.0
24;100;2;2;0.3;20.0
25;300;10;2;log2;10.0
26;300;2;2;log2;20.0
27;300;2;2;0.3;
28;300;2;1;sqrt;10.0
29;100;10;4;0.3;20.0
30;300;10;1;log2;10.0
