Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;log2;10.0
2;300;2;4;sqrt;10.0
3;300;2;1;sqrt;20.0
4;100;10;4;log2;10.0
5;300;5;4;log2;
6;300;5;1;sqrt;20.0
7;100;5;1;0.3;
8;500;2;2;sqrt;
9;100;5;1;0.3;10.0
10;500;10;4;sqrt;10.0
11;500;10;2;0.3;10.0
12;300;2;4;0.3;
13;500;2;1;log2;20.0
14;100;2;2;log2;20.0
15;500;2;2;log2;20.0
16;100;5;2;log2;20.0
17;300;2;2;0.3;10.0
18;200;2;2;0.3;20.0
19;500;2;4;log2;10.0
20;300;2;1;log2;
21;300;5;2;sqrt;10.0
22;100;2;2;log2;10.0
23;300;2;4;log2;
24;500;5;1;sqrt;20.0
25;300;2;4;sqrt;
26;200;2;4;0.3;20.0
27;100;5;1;log2;
28;500;10;1;log2;20.0
29;500;10;4;log2;
30;500;10;2;sqrt;10.0
