Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;4;sqrt;10.0
2;500;10;2;0.3;10.0
3;300;2;2;0.3;10.0
4;200;5;1;log2;
5;100;5;4;0.3;10.0
6;200;10;2;0.3;10.0
7;200;2;2;log2;20.0
8;200;10;1;sqrt;20.0
9;200;10;4;0.3;
10;300;5;4;sqrt;20.0
11;200;5;4;0.3;
12;500;5;1;sqrt;20.0
13;300;10;2;log2;
14;200;5;4;0.3;10.0
15;300;10;4;log2;20.0
16;300;2;1;0.3;
17;200;2;2;0.3;20.0
18;100;2;2;0.3;
19;300;5;2;sqrt;
20;300;2;4;log2;
21;100;2;2;0.3;20.0
22;300;5;2;log2;
23;500;10;1;sqrt;10.0
24;100;2;4;log2;20.0
25;200;5;4;log2;10.0
26;500;5;4;log2;10.0
27;500;10;2;0.3;
28;300;10;2;0.3;
29;300;10;1;sqrt;10.0
30;100;5;1;0.3;10.0
