Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;sqrt;20.0
2;100;2;4;sqrt;10.0
3;300;5;1;0.3;20.0
4;300;2;1;sqrt;20.0
5;500;5;1;0.3;20.0
6;100;5;1;log2;20.0
7;500;10;4;0.3;
8;500;10;2;0.3;10.0
9;200;5;1;sqrt;10.0
10;300;5;4;sqrt;20.0
11;300;10;4;0.3;
12;200;5;2;sqrt;20.0
13;200;5;1;0.3;20.0
14;100;10;1;log2;10.0
15;500;2;1;log2;20.0
16;200;10;2;0.3;
17;200;2;2;0.3;10.0
18;200;10;1;0.3;20.0
19;300;2;4;sqrt;20.0
20;100;5;1;0.3;10.0
21;300;10;4;log2;
22;500;10;1;sqrt;10.0
23;200;5;4;log2;10.0
24;300;10;4;log2;10.0
25;200;5;2;log2;
26;300;2;4;log2;10.0
27;100;5;2;0.3;20.0
28;200;5;2;0.3;10.0
29;300;5;2;log2;20.0
30;500;10;2;0.3;20.0
