"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C18.3";0,1113;0,1062;NA
"random_forest";"C18.3";0,1037;0,1074;NA
"xgboost";"C18.3";0,11;0,1131;NA
