Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;log2;
2;200;10;1;log2;
3;200;2;1;log2;
4;200;2;4;log2;10.0
5;100;2;2;log2;
6;500;2;2;log2;20.0
7;100;10;2;0.3;20.0
8;200;5;2;log2;20.0
9;100;10;2;0.3;10.0
10;200;10;1;0.3;10.0
11;200;2;1;0.3;20.0
12;200;5;1;sqrt;20.0
13;500;10;1;sqrt;20.0
14;200;5;1;log2;10.0
15;500;2;1;sqrt;
16;100;10;1;0.3;
17;500;10;1;log2;10.0
18;200;5;2;sqrt;
19;300;2;4;0.3;10.0
20;300;5;1;log2;
21;100;5;2;0.3;10.0
22;300;10;4;sqrt;10.0
23;200;10;4;sqrt;10.0
24;200;2;2;sqrt;10.0
25;500;10;4;0.3;20.0
26;300;2;2;log2;
27;300;10;2;sqrt;
28;100;2;4;0.3;
29;500;5;1;0.3;20.0
30;500;10;4;log2;
