Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;sqrt;10.0
2;300;5;1;0.3;
3;300;10;1;sqrt;10.0
4;100;10;1;0.3;10.0
5;200;2;2;sqrt;
6;500;10;1;sqrt;20.0
7;100;10;4;0.3;
8;300;10;2;0.3;10.0
9;200;10;1;log2;20.0
10;500;2;4;log2;
11;100;2;2;sqrt;20.0
12;100;10;1;log2;
13;100;2;2;log2;20.0
14;300;10;2;0.3;
15;500;10;1;log2;
16;500;10;1;sqrt;
17;200;5;4;0.3;10.0
18;300;2;1;0.3;10.0
19;300;10;2;sqrt;20.0
20;500;10;1;log2;20.0
21;500;5;1;log2;20.0
22;200;5;1;log2;
23;300;5;2;0.3;20.0
24;300;2;2;0.3;10.0
25;100;10;4;0.3;10.0
26;500;5;2;log2;20.0
27;200;10;4;sqrt;
28;500;10;2;sqrt;
29;200;5;1;log2;20.0
30;300;10;2;log2;20.0
