Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.7554;218.6468;2.0566;188.1434
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.347;300.0282;1.2587;197.1128
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 5));0.6931;241.7198;1.8361;166.2428
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.853;178.2674;2.6531;213.8314
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 11));0.6046;165.3489;1.6175;207.6093
