Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;sqrt;20.0
2;500;2;2;sqrt;20.0
3;200;5;4;sqrt;
4;200;2;1;0.3;10.0
5;100;10;2;log2;
6;300;2;1;0.3;20.0
7;300;5;2;sqrt;
8;300;2;4;0.3;10.0
9;300;5;2;sqrt;10.0
10;200;2;4;log2;
11;500;2;1;log2;20.0
12;200;10;1;log2;10.0
13;500;10;2;log2;20.0
14;100;2;2;0.3;10.0
15;500;5;4;0.3;20.0
16;300;2;2;0.3;
17;100;5;4;log2;20.0
18;100;10;1;0.3;
19;500;10;4;log2;
20;100;10;2;0.3;20.0
21;500;5;1;0.3;20.0
22;300;5;4;0.3;10.0
23;500;2;4;0.3;10.0
24;100;2;4;sqrt;10.0
25;500;2;1;sqrt;20.0
26;500;5;4;log2;20.0
27;100;10;2;sqrt;10.0
28;500;10;2;0.3;10.0
29;500;2;2;0.3;
30;300;2;1;log2;
