Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;log2;
2;500;10;2;log2;
3;300;5;1;sqrt;20.0
4;100;5;2;0.3;10.0
5;500;2;2;log2;
6;300;2;2;0.3;20.0
7;200;2;1;log2;
8;300;2;1;sqrt;10.0
9;500;10;4;sqrt;20.0
10;100;10;2;0.3;10.0
11;300;5;4;0.3;
12;500;2;1;sqrt;
13;100;10;1;log2;
14;100;2;1;log2;
15;100;5;2;log2;
16;300;2;4;sqrt;10.0
17;500;5;4;log2;
18;300;5;1;0.3;10.0
19;300;5;1;0.3;20.0
20;500;10;1;0.3;
21;300;5;2;sqrt;10.0
22;500;10;2;log2;20.0
23;100;5;1;log2;
24;100;5;1;0.3;10.0
25;300;5;2;log2;10.0
26;200;2;4;0.3;20.0
27;200;5;2;log2;10.0
28;500;2;4;log2;10.0
29;300;2;4;sqrt;20.0
30;500;2;2;sqrt;
