"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"trans.beta.carotene";167,5132;198,3968;98,9804
"random_forest";"trans.beta.carotene";197,7745;203,2083;77,0046
"xgboost";"trans.beta.carotene";227,5605;236,6319;96,5509
