Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;log2;10.0
2;200;2;1;0.3;20.0
3;100;2;2;sqrt;
4;100;5;1;log2;20.0
5;300;10;2;sqrt;10.0
6;200;10;4;log2;
7;100;10;1;0.3;10.0
8;500;2;1;0.3;
9;300;5;2;0.3;
10;200;2;4;0.3;
11;100;2;4;sqrt;
12;500;5;1;0.3;10.0
13;200;2;1;sqrt;10.0
14;500;5;1;log2;10.0
15;500;5;4;0.3;20.0
16;300;5;2;log2;20.0
17;200;10;2;sqrt;
18;500;5;1;0.3;
19;500;10;2;log2;20.0
20;500;10;4;log2;20.0
21;100;2;1;0.3;
22;100;10;1;log2;
23;300;5;2;0.3;10.0
24;500;5;4;sqrt;10.0
25;300;10;1;log2;
26;100;5;1;sqrt;20.0
27;300;10;4;sqrt;10.0
28;200;5;1;sqrt;
29;200;2;1;0.3;10.0
30;100;10;2;log2;20.0
