"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"X13.cis.beta.carotene";0,5839;0,5548;0,1911
"random_forest";"X13.cis.beta.carotene";0,6009;0,5252;0,3629
"xgboost";"X13.cis.beta.carotene";0,2978;0,6712;0,5216
