Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;616836;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.2982;0.0979;0.0777;0.0991;1.0591
2;831591;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.2422;0.0982;0.2537;0.0982;1.1774
3;968225;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.3109;0.0995;0.215;0.0768;1.148
4;252182;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2542;0.0981;0.3591;0.0936;1.2705
5;499136;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3013;0.0973;0.3931;0.0796;1.3056
6;629695;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3087;0.0964;0.2285;0.0947;1.158
7;341657;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2539;0.0973;0.4562;0.0887;1.3792
8;731884;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.195;0.1013;0.2478;0.1007;1.1727
9;54113;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.2016;0.0984;0.3264;0.1049;1.2393
10;799923;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.3104;0.098;0.1572;0.0906;1.1079
