Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;2;0.3;20.0
2;200;10;2;0.3;20.0
3;300;2;2;0.3;20.0
4;200;5;2;log2;
5;500;10;2;0.3;
6;300;10;4;log2;10.0
7;200;10;1;log2;
8;500;2;1;0.3;20.0
9;100;10;1;sqrt;
10;200;5;2;log2;20.0
11;500;10;2;sqrt;
12;300;2;4;0.3;
13;500;5;4;log2;20.0
14;300;5;4;0.3;
15;100;10;1;0.3;10.0
16;300;10;4;log2;
17;200;10;2;sqrt;20.0
18;300;10;2;0.3;10.0
19;100;10;2;log2;20.0
20;200;5;1;0.3;
21;100;2;4;0.3;20.0
22;300;5;1;sqrt;
23;300;5;4;0.3;10.0
24;200;5;4;0.3;10.0
25;200;2;4;log2;20.0
26;100;2;2;0.3;
27;300;2;4;log2;20.0
28;300;10;4;sqrt;
29;300;10;4;sqrt;20.0
30;200;10;4;0.3;10.0
