Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;766221;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3273;0.1658;0.5683;0.1214;1.5479
2;567971;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3394;0.1601;0.0108;0.1909;1.0226
3;212094;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.275;0.1682;0.5479;0.1399;1.5127
4;52875;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.2877;0.1713;0.4944;0.1272;1.4303
5;187024;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3583;0.154;0.1629;0.202;1.1117
6;64392;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3621;0.1635;0.1834;0.1537;1.1256
7;384477;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3201;0.1674;0.3293;0.1433;1.2419
8;931221;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3792;0.1607;0.1077;0.1688;1.0767
9;715354;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3637;0.1616;0.2078;0.1654;1.1428
10;645922;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.3069;0.1665;0.5004;0.1364;1.439
