Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;4;log2;10.0
2;500;10;2;sqrt;20.0
3;500;10;2;0.3;
4;300;2;4;0.3;
5;300;10;4;log2;10.0
6;100;10;4;0.3;10.0
7;100;5;4;0.3;10.0
8;300;2;4;sqrt;10.0
9;300;5;4;0.3;10.0
10;100;10;1;0.3;
11;500;10;1;log2;20.0
12;300;5;2;log2;20.0
13;300;2;1;log2;20.0
14;500;5;2;0.3;
15;500;5;2;log2;
16;300;5;1;sqrt;
17;500;5;2;sqrt;20.0
18;300;2;2;log2;
19;100;5;1;0.3;20.0
20;200;5;1;log2;10.0
21;200;5;2;log2;10.0
22;300;2;4;sqrt;20.0
23;500;10;1;log2;10.0
24;100;2;1;log2;20.0
25;300;10;1;0.3;10.0
26;300;2;2;0.3;10.0
27;100;10;1;0.3;20.0
28;100;10;1;sqrt;20.0
29;200;5;2;sqrt;20.0
30;100;5;2;sqrt;
