Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;136260;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4186;0.0914;0.4415;0.0678;1.361
2;681879;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4256;0.089;0.317;0.083;1.2307
3;673540;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4276;0.0899;0.4829;0.0679;1.4144
4;368974;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.3855;0.0882;0.4264;0.0911;1.343
5;798920;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.3793;0.0887;0.4803;0.0871;1.4109
6;599730;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.4252;0.0858;0.161;0.1085;1.1104
7;571574;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4148;0.0903;0.4457;0.0737;1.3661
8;14670;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.4108;0.0891;0.3832;0.0836;1.295
9;64346;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4412;0.0878;0.3957;0.079;1.3083
10;740973;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.3733;0.0919;0.4517;0.0796;1.3736
