Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;20.0
2;300;10;1;log2;
3;300;2;4;sqrt;10.0
4;100;10;1;log2;10.0
5;100;10;1;log2;
6;300;5;4;sqrt;
7;100;2;4;log2;10.0
8;200;5;2;0.3;20.0
9;300;10;4;sqrt;20.0
10;200;2;1;sqrt;20.0
11;100;2;2;0.3;
12;500;10;2;sqrt;
13;300;5;4;0.3;
14;200;5;1;sqrt;20.0
15;200;2;1;sqrt;
16;200;10;2;0.3;
17;200;10;1;sqrt;
18;300;2;2;sqrt;20.0
19;500;5;4;sqrt;
20;300;5;4;log2;20.0
21;100;10;2;sqrt;10.0
22;100;5;1;0.3;
23;200;2;4;sqrt;10.0
24;300;10;1;log2;20.0
25;500;10;4;0.3;10.0
26;100;5;2;log2;10.0
27;200;2;2;log2;10.0
28;100;5;4;sqrt;20.0
29;300;10;1;log2;10.0
30;200;2;1;log2;10.0
