Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.532;40.893;1.4867;33.3654
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.5832;41.9795;1.5754;37.2971
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 15));0.6736;45.265;1.7802;37.0607
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2, 3, 21));0.6141;41.7986;1.6373;35.6642
5;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.537;44.1669;1.4948;35.6198
