Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;0.3;10.0
2;100;2;2;log2;10.0
3;300;10;4;log2;
4;100;2;2;sqrt;20.0
5;500;10;2;sqrt;10.0
6;200;5;4;0.3;20.0
7;500;10;2;sqrt;20.0
8;500;5;1;0.3;
9;100;5;4;sqrt;
10;200;2;4;sqrt;20.0
11;200;2;4;log2;20.0
12;500;10;4;sqrt;
13;200;10;2;0.3;10.0
14;100;10;2;sqrt;10.0
15;100;10;4;log2;10.0
16;300;2;2;sqrt;10.0
17;200;5;2;log2;20.0
18;300;10;1;log2;20.0
19;100;10;1;sqrt;20.0
20;300;2;2;sqrt;20.0
21;500;2;2;log2;10.0
22;500;2;2;sqrt;10.0
23;300;2;4;sqrt;10.0
24;300;2;2;0.3;10.0
25;300;10;1;sqrt;
26;200;10;2;0.3;20.0
27;300;10;4;sqrt;10.0
28;200;5;1;0.3;20.0
29;300;5;4;sqrt;10.0
30;500;5;2;log2;20.0
