"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.beta.carotene";0,7106;0,7875;0,8043
"random_forest";"total.beta.carotene";0,7316;0,826;0,8355
"xgboost";"total.beta.carotene";0,6701;0,7768;0,9073
