Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;2;log2;10.0
2;500;5;4;sqrt;10.0
3;100;10;1;sqrt;20.0
4;500;2;2;log2;
5;500;10;2;log2;10.0
6;200;2;2;0.3;10.0
7;200;10;2;0.3;
8;500;2;2;sqrt;
9;500;10;4;log2;10.0
10;100;10;2;log2;
11;300;5;4;0.3;
12;300;5;2;0.3;
13;200;2;4;0.3;10.0
14;200;2;1;0.3;10.0
15;100;10;4;sqrt;20.0
16;100;10;4;sqrt;
17;100;2;4;sqrt;20.0
18;500;2;2;sqrt;10.0
19;100;5;4;log2;
20;500;2;2;0.3;20.0
21;200;2;1;log2;20.0
22;200;5;1;0.3;10.0
23;100;10;1;0.3;
24;200;2;1;sqrt;10.0
25;200;5;2;log2;10.0
26;500;2;1;sqrt;10.0
27;500;2;1;0.3;20.0
28;300;2;4;log2;
29;200;5;1;sqrt;20.0
30;300;5;4;log2;
