Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;log2;10.0
2;300;10;2;0.3;
3;200;2;2;0.3;
4;500;5;2;sqrt;20.0
5;100;2;1;sqrt;20.0
6;200;2;2;sqrt;
7;100;2;4;log2;10.0
8;500;10;2;sqrt;20.0
9;500;2;1;sqrt;20.0
10;300;5;4;log2;
11;200;10;2;sqrt;10.0
12;100;10;2;sqrt;
13;300;10;4;0.3;20.0
14;300;2;2;log2;10.0
15;500;10;2;sqrt;
16;300;2;2;sqrt;10.0
17;500;10;4;sqrt;20.0
18;300;10;2;0.3;10.0
19;500;10;2;0.3;20.0
20;300;5;4;0.3;20.0
21;500;10;4;0.3;10.0
22;500;10;4;log2;10.0
23;100;2;4;log2;
24;300;5;4;sqrt;10.0
25;500;2;1;log2;10.0
26;200;10;4;sqrt;20.0
27;100;10;1;sqrt;
28;200;5;2;log2;10.0
29;300;2;4;sqrt;10.0
30;200;2;1;sqrt;
