Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;0.3;
2;100;10;2;0.3;10.0
3;200;2;2;log2;20.0
4;300;5;2;0.3;20.0
5;100;5;2;log2;10.0
6;200;10;2;sqrt;20.0
7;300;10;2;log2;
8;500;2;2;0.3;10.0
9;200;2;4;sqrt;10.0
10;500;10;4;0.3;
11;500;5;4;log2;20.0
12;300;10;4;0.3;10.0
13;300;5;4;sqrt;20.0
14;200;10;2;0.3;10.0
15;200;2;1;0.3;10.0
16;200;2;4;sqrt;
17;500;5;4;log2;
18;300;5;1;0.3;10.0
19;200;10;4;log2;
20;200;10;4;0.3;10.0
21;200;2;1;0.3;20.0
22;300;10;2;sqrt;10.0
23;300;2;4;log2;
24;500;2;2;log2;20.0
25;200;10;4;log2;10.0
26;500;2;2;sqrt;
27;500;5;2;log2;
28;200;10;2;sqrt;
29;300;2;1;0.3;
30;200;10;1;0.3;
