Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;4;0.3;20.0
2;200;2;2;sqrt;10.0
3;500;5;4;sqrt;20.0
4;100;5;2;sqrt;
5;100;5;4;log2;
6;100;10;4;log2;
7;200;2;1;0.3;20.0
8;300;10;2;0.3;10.0
9;500;2;1;0.3;10.0
10;500;2;1;sqrt;
11;300;10;2;sqrt;20.0
12;200;2;4;log2;10.0
13;500;10;4;0.3;
14;200;5;4;log2;10.0
15;200;2;1;log2;
16;500;2;2;sqrt;
17;300;5;1;0.3;
18;200;10;2;sqrt;
19;200;2;2;0.3;20.0
20;100;5;4;sqrt;10.0
21;200;5;4;log2;20.0
22;100;2;2;sqrt;20.0
23;200;5;1;0.3;
24;300;2;2;log2;10.0
25;200;5;4;0.3;
26;100;2;1;log2;10.0
27;500;10;1;0.3;10.0
28;500;5;4;log2;20.0
29;200;5;1;0.3;20.0
30;200;2;4;sqrt;20.0
