Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(2,3,15));0.2028;243.041;1.1391;273.4635
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 15));0.1013;369.2613;1.0729;221.7665
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.0612;289.8308;1.0497;241.4789
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.3266;222.1421;1.2395;263.2291
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.1153;302.7325;1.0814;241.592
