"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C18.2";0,4821;0,7912;0,9513
"random_forest";"C18.2";0,1929;0,3807;0,4072
"xgboost";"C18.2";0,1349;0,4443;0,5762
