Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;sqrt;10.0
2;200;2;1;sqrt;
3;300;10;2;sqrt;
4;200;5;1;0.3;
5;200;5;2;0.3;
6;200;2;1;0.3;
7;200;10;1;sqrt;10.0
8;200;5;1;log2;
9;200;5;2;sqrt;
10;100;5;4;sqrt;20.0
11;200;2;4;log2;
12;300;2;2;log2;
13;300;2;4;sqrt;20.0
14;300;5;1;sqrt;
15;200;2;4;sqrt;
16;100;2;4;log2;
17;500;5;4;log2;10.0
18;100;2;2;sqrt;
19;100;2;4;0.3;
20;100;5;4;0.3;
21;300;2;4;log2;20.0
22;300;10;4;sqrt;
23;300;10;1;sqrt;20.0
24;200;2;4;0.3;20.0
25;100;10;2;sqrt;20.0
26;500;5;2;log2;
27;300;5;4;sqrt;10.0
28;200;2;2;0.3;20.0
29;500;5;4;0.3;20.0
30;100;2;1;0.3;10.0
