Compose;ID_Pretraitement;Code_R_Pretraitement;Meilleurs_Hyperparam_XGB;Rc;R2cv;RMSEC;RMSECV
X13.cis.beta.carotene;1;list('adj',''), list('snv',''), list('sder',c(1,3,5));{'subsample': 0.9, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.3};0.9997;0.392;1.0477;26.5436
X13.cis.beta.carotene;2;list('adj',''), list('snv',''), list('sder',c(2,3,15));{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.3};0.9993;0.3464;1.9551;27.5206
X13.cis.beta.carotene;3;list('adj',''), list('red',c(1,1300,1));{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9072;0.3719;17.4852;26.9785
X13.cis.beta.carotene;4;list('adj',''),list('red',c(950,700,1)),list('snv','');{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.97;-0.0292;20.1524;34.5356
X13.cis.beta.carotene;5;list('adj',''),list('red',c(950,750,1)),list('snv','');{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9732;-0.0406;20.0266;34.7258
X13.cis.beta.carotene;6;list('adj',''), list('red',c(1,1000,1)), list('snv','');{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.927;0.3952;16.2354;26.4736
X13.cis.beta.carotene;7;list('adj',''), list('red',c(1,1300,1)), list('snv','');{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9307;0.4296;15.8852;25.7109
X13.cis.beta.carotene;8;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9616;0.342;14.14;27.6138
X13.cis.beta.carotene;9;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 9));{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8};1.0;0.4319;0.0148;25.6594
X13.cis.beta.carotene;10;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 15));{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9298;0.4316;15.913;25.6657
X13.cis.beta.carotene;11;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 21));{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8};1.0;0.4522;0.0119;25.1964
X13.cis.beta.carotene;12;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 31));{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9306;0.4376;15.8535;25.5286
X13.cis.beta.carotene;13;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 3, 15));{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.9295;0.428;15.9261;25.7453
