Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;sqrt;20.0
2;100;10;1;0.3;10.0
3;200;2;2;sqrt;10.0
4;200;10;1;log2;
5;500;2;1;log2;
6;500;10;4;0.3;
7;500;2;4;0.3;20.0
8;200;10;2;log2;10.0
9;300;2;2;sqrt;
10;300;2;2;log2;20.0
11;500;2;1;log2;10.0
12;200;10;4;0.3;10.0
13;200;2;4;0.3;
14;100;2;2;sqrt;10.0
15;300;2;2;0.3;20.0
16;500;5;2;sqrt;20.0
17;200;2;2;log2;
18;300;5;2;sqrt;10.0
19;100;10;4;sqrt;20.0
20;200;5;2;0.3;10.0
21;100;10;1;log2;10.0
22;500;2;4;sqrt;10.0
23;200;10;2;log2;20.0
24;500;10;1;sqrt;10.0
25;500;2;2;log2;10.0
26;100;5;2;log2;
27;500;5;4;0.3;10.0
28;500;10;1;0.3;20.0
29;500;5;1;0.3;
30;300;2;1;0.3;10.0
