Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;0.3;20.0
2;300;10;2;0.3;20.0
3;500;5;1;log2;10.0
4;300;10;1;sqrt;10.0
5;500;2;4;0.3;20.0
6;300;5;4;0.3;
7;500;5;1;0.3;20.0
8;100;5;4;0.3;20.0
9;500;5;2;sqrt;
10;500;10;4;log2;
11;300;5;2;0.3;
12;500;10;4;log2;10.0
13;200;5;4;log2;
14;100;10;2;sqrt;
15;500;10;2;sqrt;20.0
16;200;5;1;log2;
17;100;10;4;sqrt;10.0
18;300;10;2;log2;10.0
19;500;2;4;log2;20.0
20;300;2;1;0.3;10.0
21;300;2;4;log2;
22;200;10;1;0.3;10.0
23;500;2;2;sqrt;10.0
24;200;2;2;log2;
25;100;2;4;0.3;20.0
26;200;2;2;0.3;20.0
27;500;5;4;0.3;20.0
28;300;10;4;sqrt;
29;500;2;1;log2;
30;200;5;1;log2;20.0
