"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.carotene";373,9612;358,5742;174,8509
"random_forest";"total.carotene";337,281;317,3785;135,2927
"xgboost";"total.carotene";341,9921;310,8361;138,7547
