Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.5487;547.3256;1.514;375.0466
2;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,31));0.561;514.3847;1.5351;341.7452
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.737;308.841;1.9833;358.2369
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.6907;359.4404;1.8289;337.8503
5;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.6894;428.8236;1.8249;354.6517
