Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;0.3;10.0
2;300;2;2;log2;10.0
3;500;5;1;log2;10.0
4;500;10;1;sqrt;20.0
5;500;5;4;sqrt;
6;100;2;1;log2;20.0
7;200;2;4;0.3;
8;300;5;4;sqrt;20.0
9;500;2;1;0.3;
10;300;10;4;log2;20.0
11;100;5;1;sqrt;
12;300;2;4;log2;
13;300;5;2;sqrt;20.0
14;500;5;1;log2;
15;300;10;1;log2;
16;300;5;1;0.3;20.0
17;200;2;2;log2;
18;100;10;1;sqrt;20.0
19;200;10;4;sqrt;10.0
20;300;10;1;sqrt;
21;200;10;2;sqrt;20.0
22;300;10;1;0.3;20.0
23;100;2;1;log2;10.0
24;100;10;4;0.3;
25;500;5;2;sqrt;20.0
26;100;2;4;0.3;10.0
27;500;2;4;0.3;
28;100;10;2;log2;10.0
29;300;10;2;sqrt;
30;500;2;1;0.3;20.0
