Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;2;log2;
2;100;10;4;0.3;10.0
3;100;2;4;sqrt;
4;100;10;2;0.3;10.0
5;100;5;4;0.3;20.0
6;300;10;1;0.3;20.0
7;300;2;2;0.3;10.0
8;500;10;1;0.3;20.0
9;100;10;1;log2;10.0
10;200;5;4;log2;10.0
11;200;5;4;0.3;20.0
12;100;5;1;log2;
13;200;10;2;sqrt;20.0
14;500;5;1;sqrt;20.0
15;300;10;2;log2;
16;200;10;1;0.3;
17;300;10;4;log2;
18;300;2;1;sqrt;10.0
19;100;2;2;sqrt;20.0
20;100;10;2;log2;20.0
21;500;10;2;0.3;20.0
22;100;5;4;sqrt;20.0
23;300;2;1;0.3;
24;300;2;1;0.3;10.0
25;300;10;4;0.3;10.0
26;300;2;1;sqrt;20.0
27;300;10;4;0.3;
28;300;10;2;0.3;20.0
29;200;10;4;sqrt;
30;500;10;4;0.3;20.0
