Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;sqrt;20.0
2;300;10;1;log2;
3;200;2;2;sqrt;
4;100;10;1;log2;
5;300;2;2;0.3;
6;300;5;2;0.3;10.0
7;100;5;1;0.3;20.0
8;500;2;1;log2;20.0
9;200;5;4;0.3;
10;300;5;1;log2;20.0
11;200;2;1;0.3;10.0
12;200;10;1;0.3;20.0
13;500;10;1;sqrt;20.0
14;300;5;2;log2;20.0
15;100;10;4;log2;10.0
16;300;5;4;sqrt;20.0
17;500;10;2;sqrt;20.0
18;200;10;1;0.3;10.0
19;100;5;4;log2;10.0
20;500;5;4;0.3;20.0
21;100;10;2;sqrt;10.0
22;200;5;4;log2;20.0
23;500;10;2;0.3;
24;100;5;1;log2;
25;200;2;4;log2;
26;100;5;1;sqrt;
27;200;10;1;log2;10.0
28;200;2;1;sqrt;10.0
29;500;2;2;0.3;20.0
30;500;2;4;log2;
