Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;52138;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.3762;1.1707;0.4038;1.2268;1.3173
2;505435;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.3836;1.2158;0.5536;0.8884;1.5223
3;480249;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.4487;1.0785;0.2275;1.5291;1.1572
4;397702;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.3683;1.21;0.4285;1.0998;1.3454
5;382482;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3927;1.2548;0.0506;0.9287;1.0438
6;584987;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,21));0.4382;1.1653;0.1594;1.1823;1.1094
7;508735;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.4673;1.0195;0.2518;1.6295;1.1759
8;551468;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.4416;1.2083;-0.0019;0.9168;1.0161
9;117258;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.4272;1.1908;0.1466;1.1045;1.101
10;377290;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.4187;1.2168;0.5391;0.7122;1.4982
