Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;log2;20.0
2;500;5;4;sqrt;20.0
3;100;10;4;log2;
4;500;10;1;log2;10.0
5;500;10;2;sqrt;10.0
6;100;5;4;log2;
7;300;5;2;0.3;
8;100;2;4;log2;10.0
9;500;10;2;log2;20.0
10;100;10;4;log2;20.0
11;300;2;2;0.3;20.0
12;100;5;2;log2;20.0
13;300;5;1;log2;10.0
14;200;10;4;0.3;
15;500;5;2;0.3;10.0
16;100;5;2;sqrt;20.0
17;300;2;1;0.3;10.0
18;500;5;1;0.3;20.0
19;100;10;2;log2;
20;300;5;2;sqrt;
21;100;5;2;0.3;
22;300;5;1;log2;20.0
23;200;5;4;sqrt;20.0
24;200;2;1;0.3;10.0
25;500;10;2;sqrt;
26;500;5;2;log2;20.0
27;300;2;1;0.3;
28;200;2;4;0.3;
29;500;5;1;log2;10.0
30;500;2;1;sqrt;20.0
