Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;639976;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.6408;36.8246;0.6034;52.9367;1.6151
2;47354;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.6784;40.8159;0.0324;39.5605;1.034
3;918745;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,15)), list('snv','');0.6623;41.061;0.3908;39.8475;1.3032
4;854186;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.668;36.9371;0.6637;45.0859;1.754
5;258795;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 9));0.6311;39.8345;0.4804;52.2136;1.4109
6;503272;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 15));0.6238;42.2801;0.6383;35.3872;1.6911
7;838990;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 25));0.6679;40.385;0.5226;37.9004;1.472
8;441468;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.6993;35.5046;0.5623;49.8878;1.5374
9;601090;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.6505;40.465;0.4674;45.5432;1.3937
10;365771;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 25));0.6609;40.0454;0.6483;36.161;1.715
