"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.trans.carotenes.natif";NA;NA;157,3687
"random_forest";"total.trans.carotenes.natif";NA;NA;127,1379
"xgboost";"total.trans.carotenes.natif";NA;NA;147,4157
