Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;log2;20.0
2;200;2;1;0.3;10.0
3;500;2;1;0.3;20.0
4;100;5;2;0.3;10.0
5;300;5;4;sqrt;10.0
6;300;10;2;log2;10.0
7;300;5;2;0.3;20.0
8;500;10;4;0.3;
9;300;10;1;sqrt;
10;300;5;2;sqrt;
11;300;10;1;log2;20.0
12;300;5;2;0.3;10.0
13;100;10;4;0.3;20.0
14;200;2;1;sqrt;
15;200;2;4;sqrt;
16;200;10;2;sqrt;10.0
17;500;10;4;sqrt;10.0
18;100;5;4;sqrt;10.0
19;200;5;4;sqrt;20.0
20;500;10;1;sqrt;
21;200;2;1;sqrt;20.0
22;300;5;4;0.3;20.0
23;500;5;2;sqrt;
24;500;5;2;log2;20.0
25;300;10;4;0.3;
26;500;10;1;log2;
27;500;2;2;log2;
28;200;2;2;0.3;10.0
29;300;10;2;0.3;20.0
30;300;5;4;sqrt;
