Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.8007;231.6929;2.278;190.4914
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7781;184.8916;2.1594;176.2784
3;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.6515;239.4429;1.723;193.3985
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.6724;201.4487;1.777;190.2225
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.711;215.8629;1.892;203.7826
