Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;0.3;
2;500;2;2;0.3;20.0
3;500;5;4;log2;
4;300;10;1;log2;
5;500;2;2;log2;
6;500;5;4;sqrt;
7;200;2;1;0.3;20.0
8;500;5;4;sqrt;10.0
9;200;5;4;0.3;
10;200;10;2;sqrt;10.0
11;200;5;1;log2;20.0
12;200;2;4;sqrt;
13;300;10;1;sqrt;10.0
14;200;2;2;sqrt;
15;500;2;1;log2;
16;300;2;1;0.3;
17;200;2;4;sqrt;10.0
18;100;5;2;log2;20.0
19;300;5;2;0.3;
20;300;10;4;log2;10.0
21;300;10;2;0.3;
22;300;2;2;sqrt;10.0
23;500;10;4;sqrt;
24;100;5;4;0.3;20.0
25;100;2;2;log2;10.0
26;200;10;1;sqrt;
27;200;2;4;log2;20.0
28;300;10;2;log2;
29;500;2;4;sqrt;
30;300;10;2;sqrt;
