Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;sqrt;
2;500;2;1;0.3;
3;500;5;2;0.3;
4;500;10;1;sqrt;10.0
5;200;5;1;log2;10.0
6;500;2;2;0.3;20.0
7;500;10;1;log2;20.0
8;200;5;1;sqrt;10.0
9;200;5;2;0.3;
10;100;10;4;0.3;
11;300;2;2;0.3;10.0
12;200;10;2;0.3;10.0
13;100;5;1;log2;10.0
14;200;10;2;sqrt;20.0
15;300;5;4;sqrt;
16;300;10;1;0.3;10.0
17;300;5;4;0.3;10.0
18;200;5;2;sqrt;
19;100;10;1;sqrt;
20;100;5;2;0.3;10.0
21;100;5;4;0.3;10.0
22;100;5;1;sqrt;
23;300;10;4;log2;
24;300;5;4;log2;10.0
25;200;10;1;sqrt;10.0
26;100;10;1;sqrt;10.0
27;300;2;4;sqrt;20.0
28;200;2;2;sqrt;20.0
29;500;10;4;0.3;
30;300;2;1;log2;10.0
