Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;2;log2;20.0
2;200;2;2;sqrt;20.0
3;300;10;2;sqrt;10.0
4;100;5;1;0.3;10.0
5;200;2;2;sqrt;
6;300;2;2;sqrt;20.0
7;500;10;4;sqrt;20.0
8;200;10;4;sqrt;20.0
9;200;2;4;0.3;20.0
10;500;5;4;sqrt;10.0
11;300;10;1;sqrt;
12;500;10;4;0.3;
13;500;10;2;sqrt;20.0
14;200;2;4;sqrt;
15;500;2;4;0.3;10.0
16;200;2;1;log2;20.0
17;300;10;4;0.3;20.0
18;200;5;2;0.3;20.0
19;100;5;2;0.3;20.0
20;200;10;1;sqrt;10.0
21;100;5;4;sqrt;
22;200;10;2;sqrt;20.0
23;500;10;4;0.3;20.0
24;100;5;1;sqrt;
25;500;2;4;sqrt;10.0
26;300;2;2;sqrt;10.0
27;100;10;2;0.3;20.0
28;100;10;2;0.3;10.0
29;300;2;4;0.3;
30;300;5;1;sqrt;10.0
