Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;2;log2;
2;500;2;2;0.3;
3;200;2;2;log2;
4;100;10;4;0.3;
5;300;5;2;log2;
6;200;5;2;0.3;10.0
7;500;2;1;0.3;10.0
8;500;2;4;0.3;20.0
9;500;10;2;sqrt;20.0
10;300;2;4;0.3;10.0
11;300;5;2;log2;20.0
12;200;10;2;log2;
13;300;2;2;log2;10.0
14;200;5;4;sqrt;20.0
15;100;2;1;0.3;
16;300;2;2;sqrt;20.0
17;100;2;2;log2;10.0
18;300;5;1;log2;
19;100;2;1;log2;20.0
20;500;5;2;0.3;20.0
21;300;10;4;sqrt;
22;100;5;2;sqrt;20.0
23;100;2;4;0.3;
24;300;10;1;sqrt;
25;100;5;1;log2;20.0
26;200;10;1;sqrt;20.0
27;200;10;1;0.3;10.0
28;500;10;2;sqrt;10.0
29;300;5;2;0.3;20.0
30;500;10;1;sqrt;20.0
