Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;68492;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.1732;0.6574;0.241;0.5675;1.1675
2;453019;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.2032;0.6536;-0.1954;0.6344;0.9303
3;871576;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.1668;0.6457;0.1399;0.6638;1.0967
4;530079;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.2655;0.6214;0.1971;0.579;1.1351
5;155813;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.1293;0.6607;0.1956;0.6496;1.134
6;921543;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.2184;0.6349;0.1186;0.638;1.0834
7;448350;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.1938;0.6142;0.1122;0.7596;1.0794
8;132527;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.2587;0.6246;-0.1224;0.6631;0.96
9;80899;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.2392;0.6325;0.0835;0.5891;1.0624
10;3543;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.2217;0.6457;-0.0201;0.5901;1.007
