Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;sqrt;10.0
2;300;5;4;0.3;
3;100;10;4;log2;20.0
4;300;10;2;log2;20.0
5;100;2;4;log2;10.0
6;300;10;4;log2;
7;200;5;2;log2;20.0
8;500;2;2;sqrt;20.0
9;200;10;4;sqrt;
10;100;2;4;sqrt;
11;100;10;4;0.3;20.0
12;300;2;1;0.3;10.0
13;300;5;4;log2;
14;200;10;1;0.3;
15;300;2;4;log2;
16;500;2;4;log2;10.0
17;300;2;4;0.3;
18;500;5;1;log2;
19;500;5;2;log2;
20;300;2;2;log2;
21;100;2;1;0.3;
22;500;5;2;log2;10.0
23;300;10;2;log2;
24;100;2;1;sqrt;
25;100;5;4;log2;20.0
26;100;5;4;sqrt;
27;100;2;2;sqrt;10.0
28;300;5;4;sqrt;20.0
29;200;10;1;sqrt;
30;100;5;4;0.3;20.0
