Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;sqrt;20.0
2;500;2;2;log2;
3;100;10;1;log2;10.0
4;500;5;2;0.3;10.0
5;300;10;2;sqrt;10.0
6;200;5;4;0.3;10.0
7;300;10;1;0.3;
8;200;5;4;log2;
9;200;10;1;0.3;20.0
10;500;5;4;0.3;20.0
11;200;5;4;log2;10.0
12;200;5;2;sqrt;10.0
13;300;5;1;log2;
14;500;10;4;sqrt;
15;100;10;4;sqrt;
16;500;10;1;log2;20.0
17;200;2;1;sqrt;20.0
18;200;10;4;0.3;10.0
19;100;2;2;sqrt;20.0
20;100;2;1;log2;10.0
21;300;5;4;sqrt;
22;300;2;2;log2;10.0
23;500;2;2;log2;20.0
24;300;10;2;sqrt;
25;100;5;1;log2;10.0
26;300;2;1;sqrt;10.0
27;100;2;1;sqrt;
28;500;2;4;sqrt;
29;200;10;2;0.3;10.0
30;100;2;4;sqrt;10.0
