Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;2;0.3;
2;500;2;2;0.3;20.0
3;100;2;4;sqrt;10.0
4;500;2;2;sqrt;20.0
5;100;5;4;0.3;
6;300;5;1;sqrt;10.0
7;300;10;2;sqrt;10.0
8;500;5;4;sqrt;20.0
9;100;2;2;log2;20.0
10;100;10;4;log2;10.0
11;300;5;4;0.3;
12;100;5;1;sqrt;10.0
13;100;2;4;0.3;20.0
14;200;2;4;sqrt;
15;300;5;4;sqrt;
16;200;10;2;log2;20.0
17;500;10;2;0.3;20.0
18;200;2;1;log2;10.0
19;200;10;1;log2;
20;100;10;4;sqrt;20.0
21;300;10;2;log2;
22;100;10;2;0.3;10.0
23;500;2;2;sqrt;
24;200;5;1;sqrt;
25;200;2;1;log2;20.0
26;200;5;2;0.3;
27;300;2;2;log2;20.0
28;100;2;4;sqrt;
29;200;2;2;log2;20.0
30;100;10;2;0.3;20.0
