Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;495648;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.6991;5.3133;0.6929;5.2776;1.8355
2;163804;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.6948;5.225;0.7725;5.4707;2.1326
3;270985;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.6897;5.3846;0.7175;5.179;1.9136
4;327417;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.6899;5.2681;0.8313;4.6778;2.4761
5;429831;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.706;5.317;0.4759;4.7608;1.4049
6;194696;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.6785;5.3031;0.6554;7.1121;1.7325
7;619639;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.6984;5.4199;0.5215;5.2095;1.4703
8;248708;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.7012;5.4004;0.6945;4.0137;1.8403
9;803322;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.6996;5.4226;0.5353;4.8313;1.492
10;120161;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.7045;5.3711;0.6028;4.485;1.6138
