Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;2;0.3;
2;500;2;2;sqrt;
3;500;2;4;log2;
4;100;2;4;0.3;20.0
5;200;10;2;sqrt;20.0
6;500;2;4;0.3;20.0
7;100;10;2;log2;
8;200;10;2;sqrt;
9;100;5;2;sqrt;10.0
10;500;2;2;log2;20.0
11;300;10;4;sqrt;20.0
12;300;2;2;sqrt;20.0
13;200;5;4;sqrt;10.0
14;200;10;1;sqrt;20.0
15;300;2;2;0.3;
16;500;10;2;0.3;
17;500;2;4;0.3;
18;500;2;4;log2;10.0
19;500;5;1;log2;10.0
20;500;5;1;log2;20.0
21;200;2;4;sqrt;10.0
22;200;5;2;log2;20.0
23;200;10;4;log2;10.0
24;300;5;4;sqrt;10.0
25;100;5;4;0.3;10.0
26;200;2;4;log2;10.0
27;300;5;2;0.3;10.0
28;200;10;1;log2;
29;100;10;1;0.3;
30;100;10;4;log2;20.0
