Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;sqrt;10.0
2;100;2;2;sqrt;
3;500;2;4;log2;10.0
4;300;2;1;log2;20.0
5;200;10;1;0.3;20.0
6;200;5;2;log2;20.0
7;500;5;1;0.3;
8;500;5;2;sqrt;
9;500;10;4;log2;10.0
10;300;2;1;log2;
11;100;10;1;log2;10.0
12;300;10;2;log2;20.0
13;100;10;4;sqrt;20.0
14;100;5;1;sqrt;
15;200;10;1;0.3;
16;500;5;4;0.3;10.0
17;500;2;1;sqrt;20.0
18;200;2;2;0.3;10.0
19;100;5;4;0.3;10.0
20;100;10;1;0.3;10.0
21;100;5;4;log2;10.0
22;500;5;4;log2;
23;300;2;4;sqrt;10.0
24;500;10;2;log2;
25;500;10;2;sqrt;20.0
26;200;10;2;0.3;20.0
27;100;2;1;0.3;
28;300;5;1;0.3;20.0
29;300;10;1;0.3;20.0
30;300;2;4;sqrt;20.0
