Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;1;0.3;10.0
2;300;5;4;sqrt;10.0
3;200;5;4;log2;20.0
4;100;5;2;log2;
5;200;5;2;log2;20.0
6;300;5;1;0.3;20.0
7;200;5;1;log2;
8;300;10;2;log2;20.0
9;100;5;1;sqrt;20.0
10;200;2;2;log2;
11;200;10;1;log2;10.0
12;200;2;1;log2;20.0
13;100;10;4;log2;10.0
14;200;2;2;0.3;
15;200;10;2;0.3;20.0
16;300;5;1;log2;20.0
17;200;5;2;0.3;
18;500;10;1;0.3;20.0
19;500;10;4;log2;20.0
20;300;5;1;sqrt;
21;200;10;4;0.3;10.0
22;100;2;2;sqrt;
23;200;10;1;sqrt;10.0
24;500;5;4;log2;10.0
25;100;5;4;sqrt;10.0
26;500;2;4;sqrt;
27;300;5;1;sqrt;10.0
28;200;10;2;sqrt;20.0
29;300;2;4;0.3;10.0
30;200;10;4;log2;20.0
