"""code_nirs"",""code_chimie"",""trans-alpha-carotène"",""trans-beta-carotène"",""13.cis-beta-carotène"",""9.cis-beta-carotène"",""total.beta-carotènes"",""total.carotènes"""
"M2-P333-L14-A8,""M2-H14-8"",1463.57483547418,1811.17082838571,101.686386570863,242.343935224454,2155.20115018103,3618.77598565521"
"M6-P333-L20-A13,""M6-H20-13"",66.3212060781003,117.879053543818,19.1534004221358,35.5065366435808,172.538990609534,238.860196687635"
"M7-P333-L17-A10,""M7-H17-10"",943.822194545097,649.893202723175,100.155560580914,239.616783767801,989.66554707189,1933.48774161699"
"M8-P333-L15-A25,""M8-H15-25"",536.986878229379,497.04413823511,103.478762784318,119.617528938805,720.140429958233,1257.12730818761"
"M9-P333-L18-A15,""M9-H18-15"",545.529323993672,359.60721366356,62.0393881637833,81.5607191018317,503.207320929175,1048.73664492285"
"M10-P333-L15-A10,""M10-H15-10"",185.983466775083,308.070263477176,70.9672988204909,58.9117140867505,437.949276384417,623.9327431595"
"M14-P333-L16-A10,""M14-H16-10"",330.121668637239,302.969373806868,53.0958600785383,81.6042350866249,437.669468972031,767.79113760927"
"M18-P333-L14-A24,""M18-H14-24"",544.640356632469,1076.57301596726,66.9596640177172,111.450560677828,1254.9832406628,1799.62359729527"
"M25-P454-L2-A8,""M25-M2-8"",115.123772236214,60.3131411106286,51.7297096534464,33.6208105797902,145.663661343865,260.787433580079"
"M29-P454-L2-A10,""M29-M2-10"",119.824859803444,140.238905886393,22.7549569159343,49.1627852398225,212.15664804215,331.981507845593"
"M31-P454-L1-A4,""M31-M1-4"",302.560124093741,678.890233340195,77.5454561486193,178.155431756011,934.591121244825,1237.15124533857"
"M32-P454-L6-A5,""M32-M6-5"",337.777821068544,398.175745901657,69.407644277808,119.428866132551,587.012256312016,924.79007738056"
"M35-P454-L2-A13,""M35-M2-13"",842.494187586541,1095.69654720422,114.656407294849,196.181549793747,1406.53450429282,2249.02869187936"
"M38-P454-L1-A16,""M38-M1-16"",325.891367931063,384.377140419212,53.3860231944044,74.6202910170499,512.383454630666,838.274822561729"
"M40-P454-L5-A7,""M40-M5-7"",338.314578362469,243.887057114682,36.613342605669,94.6639850354784,375.164384755829,713.478963118298"
"M45-P553-L36-A15,""M45-O36-15"",233.314236943602,116.318113900605,36.3280033656415,41.5261134769011,194.172230743147,427.48646768675"
"M48-P454-L8-A14,""M48-M8-14"",262.194455265721,182.361099909191,51.0535763502902,42.6540405970081,276.068716856489,538.26317212221"
"M49-P553-L39-A8,""M49-O39-8"",86.3036488520385,97.714548507854,29.5966415822016,36.8449538585776,164.156143948633,250.459792800672"
"M70-P113-L31-A18,""M70-B31-18"",836.936814417801,1739.2105432823,108.078175648536,323.943578193934,2171.23229712477,3008.16911154257"
"M72-P113-L33-A24,""M72-B33-24"",390.06240110983,1528.92504274186,131.53098002178,234.49929184562,1894.95531460926,2285.01771571909"
"M73-P113-L28-A19,""M73-B28-19"",162.828310169239,256.856026626482,31.6764868485665,38.6855163892353,327.218029864284,490.046340033523"
"M79-P113-L2-A6,""M79-B2-6"",1929.12657121591,1248.33118205206,135.213478979151,358.372137614359,1741.91679864557,3671.04336986148"
"M84-P113-L34-A26,""M84-B34-26"",622.245199866845,822.336869888686,79.5812396522087,115.475061782774,1017.39317132367,1639.63837119051"
"M88-P323-L20-A19,""M88-G20-19"",272.143319980238,302.385781266355,74.5540231272868,77.9601133720899,454.899917765732,727.04323774597"
"M91-P323-L19-A18,""M91-G19-18"",442.434524759932,970.277428614706,105.417192200705,172.774124694192,1248.4687455096,1690.90327026953"
"M97-P333-L11-A19,""M97-H11-19"",219.129541813535,128.639326160116,34.6830448772334,42.8902824612627,206.212653498612,425.342195312147"
"M100-P424-L36-A8,""M100-J36-8"",224.999599493785,361.034610345754,71.6214431919517,66.7862402760392,499.442293813745,724.441893307531"
"M103-P323-L16-A21,""M103-G16-21"",984.078345759078,890.021870278027,65.1148482483519,123.642481328219,1078.7791998546,2062.85754561368"
"M104-P106-L22-A5,""M104-A22-5"",186.770328488062,148.915985820029,20.2784781920531,29.4365006013674,198.630964613449,385.401293101512"
"M109-P24-L18-A10,""M109-E18-10"",466.927271092709,672.245252102852,93.0792909730952,140.761140773825,906.085683849772,1373.01295494248"
"M114-P24-L22-A7,""M114-E22-7"",577.636220786215,719.08661460831,72.2919686648241,251.526634878552,1042.90521815169,1620.5414389379"
"M117-P24-L1-A6,""M117-E1-6"",178.450074245527,449.415571861012,45.7566321351025,73.3961134041708,568.568317400285,747.018391645812"
"M120-P24-L10-A3,""M120-E10-3"",223.48245980046,404.201846739611,54.474434350785,54.1783937498239,512.85467484022,736.33713464068"
"M121-P152-L5-A13,""M121-C5-13"",144.85033225987,95.0685259696284,10.3363423907725,21.1223956851414,126.527264045542,271.377596305412"
"M123-P24-L17-A9,""M123-E17-9"",278.34780374466,279.562468934485,32.8168656000105,57.3604106484866,369.739745182982,648.087548927642"
"M137-P416-L12-A28,""M137-I12-28"",445.520416725508,1051.80909863724,88.7806631746167,217.351727519448,1357.94148933131,1803.46190605682"
"M138-P444-L19-A18,""M138-L19-18"",61.3512560681556,126.044414910474,34.0815010991682,35.2857374634713,195.411653473113,256.762909541269"
"M223-P113-L36-A6,""M223-B36-6"",654.884771230427,971.962052807871,145.617821488849,276.614877310281,1394.194751607,2049.07952283743"
"M224-P113-L37-A18,""M224-B37-18"",120.141624347982,291.646938576887,23.4899971942931,87.5387527002826,402.675688471462,522.817312819444"
"M225-P113-L38-A20,""M225-B38-20"",274.226368850185,871.364814940764,55.2146400262683,192.889220839702,1119.46867580673,1393.69504465692"
"M228-P113-L27-A20,""M228-B27-20"",157.333190435133,204.545942877194,27.8550634878573,50.2945367032353,282.695543068286,440.028733503419"
