code_nirs,C14:0,C16:0,C18:0,C18:1n9,C18:1n7,C18:2,C18:3,C20:0
M146-P407-L39-A6,0.6440890629550544,44.76160096988267,5.183613328351716,40.20680995726682,0.5781285581724113,7.979177507126695,0.22127069539128882,0.42530992085334113
M147-P407-L33-A6,0.3926007560421859,37.54003106211303,5.586794004082679,46.89742177305321,0.5539512057593738,8.231572935005431,0.3599326222362874,0.4376956417077992
M151-P407-L40-A10,0.6566992117771289,37.95146958315215,6.5004948433246446,44.82049694967824,0.46895700145754965,8.917731311697938,0.31114356869643917,0.3730075302159346
M152-P407-L38-A10,0.7135752156942126,39.98317818500483,5.61890121686025,44.45333966076944,0.5381431761296845,8.048738204180658,0.2793209549570688,0.364803386403864
M155-P407-39-A15,0.7479525022783368,41.58700730380176,5.027353635800036,42.807720002114216,0.6258625215209705,8.404442683997724,0.3934382860556881,0.406223064431284
M162-P407-L38-A7,0.523388927910313,38.76534021618176,6.156811248894462,43.5447747225174,0.5609806119712921,9.762930429089565,0.2700033162160383,0.41577052721917335
M165-P407-L30-A15,1.1158581068407643,43.07221303739758,3.7688649608689007,41.158682762351944,0.7014356791839855,9.183992062484345,0.6481496302815428,0.3508037605909318
M166-P407-L39-A9,0.6191939782277381,43.89843054213859,5.793592599525746,40.25699290897658,0.5613819816856804,8.184445754084607,0.34622577259917187,0.33973646276187586
M167-P407-L38-A9,0.8163596726351436,39.73129977875462,6.173150374412915,44.39003571026829,0.44932418782755823,7.560586259042238,0.39689158569138716,0.48235243136784534
M168-P407-L39-A8,0.7864535298556563,44.67735380636529,5.140709827150762,40.37727899220747,0.5740162214705701,7.818410285607178,0.26740941066690666,0.3583679266761579
M176-P407-L31-A16,0.9242139950828745,37.35210349099514,4.921874453659241,48.569254145059055,0.5986583234988675,6.8237737466354025,0.36633370225378553,0.4437881428156286
M180-P407-L31-A14,0.6972769279742694,39.49862934425331,4.814857356947153,47.298091511227184,0.6585946736571466,6.348586304063861,0.3340013300397634,0.34996255183730957
M186-P407-L20-A11,0.9358698489587401,40.347219920900315,4.109286131799626,44.58505994470229,0.7301779511713169,8.502669169144168,0.37126639181741183,0.4184506415061264
M188-P407-L20-A4,1.126873390821653,45.895059180460194,4.620705699342592,38.15123890912668,0.5802073063907601,8.995034502293215,0.3169121258880016,0.31396888567689035
M195-P407-L22-A12,0.8437083189905342,42.250811424251005,5.036835477317407,41.83313715733038,0.5835727521706934,8.812332508918436,0.2551993954152228,0.3844029656063214
M197-P407-L21-A12,1.5247776404866173,44.13973240787931,5.035153950766104,37.753675560996406,0.5626570132982046,10.285765056008398,0.21511884792145936,0.4831195226435
M199-P407-L23-A2,1.1664008589656654,43.19825984006783,6.22740128378999,36.543968151797934,0.45076846392217224,11.547700125138585,0.3774559407780949,0.48804533553972873
M201-P407-L28-A10,1.3991997907837943,45.030176490015315,4.8428455434005135,37.29040503467758,0.5483874384642371,10.321258342754096,0.23857056118421696,0.32915679872022696
M203-P407-L24-A7,0.9564636626268836,42.590984882259285,5.501256330225524,38.5376760633405,0.5224174822639672,11.189804608230338,0.34521161122702493,0.3561853598264639
M207-P407-L29-A16,1.154751783765177,44.7659383569115,4.535332070553041,39.45297326934362,0.6770907292266835,8.726689660764631,0.4143799830796267,0.27284414635571697
M234-P323-L16-A16,0.46388306846867444,39.44836139777276,5.3173944820961125,45.12067997378664,0.6002731996313263,8.29616067965111,0.238002398275055,0.515244800318323
M235-P323-L20-A19,0.24923506255794753,31.71080244155007,5.930408253773719,50.19189572618093,0.5648874278247138,10.623688628416458,0.3158283158213847,0.41325414387476267
M237-P323-L20-A10,0.416156165141537,40.355484970964355,4.6673296897711065,45.88739723639577,0.6791990842047663,7.293065576058523,0.3348982999104347,0.36646897755351465
M238-P323-L20-A2,0.5141217981669837,42.72309986246074,4.949284983577365,42.35131150994059,0.6094663458307157,8.3302168322512,0.1585963299504117,0.36390233782200665
M239-P323-L16-A25,0.28198435519897247,35.35232516730802,7.947792138035137,46.601224564073,0.3902221825781939,8.761911998233654,0.2088976666270085,0.45564192794602243
M264-P407-L16-A2,0.56810077073797,37.60022465045689,5.465531953475825,48.42128264648717,0.5588151856647035,6.694740369526665,0.29200497630795397,0.39929944734282935
M268-P407-L15-A4,0.7352447306242768,40.437696541614855,5.29713979401488,43.956361041161365,0.5151624031234792,8.415700850331266,0.33456532428236196,0.308129314847505
