"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotne","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotenes","total.carotenes"
"M305",26,0.835993552413982,43.3501141786183,5.3732497524163,38.963682344868,0.510117350826532,10.2734393997677,0.28432972707071,0.409073694018404,NA,NA,NA,NA,NA,NA,NA
"M306",39,0.851406606139573,45.7094588526663,4.63080194923309,36.3176252432991,0.620586584469513,11.1983788613159,0.255099226720446,0.416642676156082,NA,NA,NA,NA,NA,NA,NA
"M31",20,0.8,43.9,2.9,41.3,1.8,8.6,0.4,0.4,80,303,679,78,178,935,1237
"M32",20,0.9,41,4.9,45.4,0.8,6.3,0.3,0.5,78.5,338,398,69,119,587,925
"M33",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M34",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M35",20,1.9,45.9,4.9,35.4,0.6,10.3,0.5,0.5,76.2,842,1096,115,196,1407,2249
"M36",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M37",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M38",14,1.3,48.6,4.9,35.3,1.4,7.6,0.3,0.5,79.5,326,384,53,75,512,838
"M39",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M4",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M40",19,0.4,39.3,4.7,46.4,0.7,8,0.1,0.4,81.8,338,244,37,95,375,713
"M41",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M42",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M43",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M44",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M45",19,0.7,43.4,3.7,41.5,1.6,8.3,0.3,0.4,83.3,233,116,36,42,194,427
"M46",26,1.4,45.3,3.5,40.2,1.3,7.5,0.4,0.4,83.5,NA,NA,NA,NA,NA,NA
"M47",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M48",19,1.2,47.2,3.6,39,0.8,7.9,0.1,0.2,NA,262,182,51,43,276,538
"M49",18,1.8,49.2,3.5,33.6,1.4,9.9,0.3,0.4,84.6,86,98,30,37,164,250
"M5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M50",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M51",30,1.6,47,3.4,39.1,1.6,6.8,0.4,0.1,83.4,NA,NA,NA,NA,NA,NA
"M52",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M53",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M54",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M55",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M56",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M57",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M58",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M59",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6",22,0.3,37.5,7.4,44.1,1.1,9,0.1,0.6,79.5,66,118,19,36,173,239
"M60",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M61",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M62",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M63",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M64",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M65",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M66",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M67",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M68",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M69",20,0.9,42.8,4.6,40.6,0.6,9.7,0.3,0.5,80.3,NA,NA,NA,NA,NA,NA
"M7",37,0.2,29.4,7.4,55.2,1.2,5.9,0.4,0.5,77,944,650,100,240,990,1933
"M70",46,1.4,41.1,4.2,44,0,8.5,0.5,0.4,72.6,837,1739,108,324,2171,3008
"M71",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M72",38,0.8,45.2,5,39.9,1.3,6.9,0.4,0.5,76.7,390,1529,132,234,1895,2285
"M73",31,0.4,33.2,7.1,52.5,0,6.1,0.3,0.4,79.3,163,257,32,39,327,490
"M74",26,0.5,38.8,9,38.8,0.8,11.1,0.3,0.6,84.6,NA,NA,NA,NA,NA,NA
"M75",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M76",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M77",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M78",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M79",34,0.6,39.8,4,49,1.6,4,0.5,0.4,74.7,1929,1248,135,358,1742,3671
"M8",28,0.2,31,6.7,52.7,1.4,7.2,0.4,0.4,NA,537,497,103,120,720,1257
"M80",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M81",20,1.2,44,4.4,38.2,1.3,10.4,0.2,0.3,87.8,NA,NA,NA,NA,NA,NA
"M82",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M83",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M84",32,0.2,28.5,6,56,1,7.5,0.3,0.4,76.1,622,822,80,115,1017,1640
"M85",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M86",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M87",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M88",21,0.3,28.9,5.7,52.7,0.5,11,0.4,0.4,82.7,272,302,75,78,455,727
"M89",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M9",32,0.7,33,8.8,48.6,1.1,7.1,0.3,0.4,NA,546,360,62,82,503,1049
"M90",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M91",31,0.7,41,4.6,45.2,1.5,6.3,0.3,0.4,72.7,442,970,105,173,1248,1691
"M92",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M93",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M94",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M95",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M96",25,0.4,35.6,6.3,47.3,0.9,8.5,0.4,0.5,NA,NA,NA,NA,NA,NA,NA
"M97",21,0.3,33.3,7.1,49.7,1,7.7,0.3,0.5,78.9,219,129,35,43,206,425
"M98",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M99",29,1.3,47.8,3.6,35,1.3,10.2,0.3,0.4,81.2,NA,NA,NA,NA,NA,NA
