"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotne","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotenes","total.carotenes"
"M193",36,1.3,44.5,4.8,36.8,1.8,10.1,0.3,0.4,78.4,393,632,25,35,691,1084
"M194",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M195",34,0.843708318990534,42.250811424251,5.03683547731741,41.8331371573304,0.583572752170693,8.81233250891844,0.255199395415223,0.384402965606321,NA,NA,NA,NA,NA,NA,NA
"M196",76,0.6,40.2,4,40.8,2.4,10.8,0.6,0.5,54,155,153,42,49,245,400
"M197",35,1.52477764048662,44.1397324078793,5.0351539507661,37.7536755609964,0.562657013298205,10.2857650560084,0.215118847921459,0.4831195226435,NA,NA,NA,NA,NA,NA,NA
"M198",57,0.8,46.9,3.6,37,1.8,9.1,0.4,0.5,71.5,171,259,9,49,317,488
"M199",36,1.16640085896567,43.1982598400678,6.22740128378999,36.5439681517979,0.450768463922172,11.5477001251386,0.377455940778095,0.488045335539729,NA,NA,NA,NA,NA,NA,NA
"M2",44,0.2,26.3,6.2,59.7,0.6,5.8,0.7,0.5,73.9,1464,1811,102,242,2155,3619
"M20",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M200",26,0.9,41.1,5.1,41.5,1.7,9.2,0.3,0.3,79.3,489,449,19,58,525,1014
"M201",37,1.39919979078379,45.0301764900153,4.84284554340051,37.2904050346776,0.548387438464237,10.3212583427541,0.238570561184217,0.329156798720227,NA,NA,NA,NA,NA,NA,NA
"M202",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M203",28,0.956463662626884,42.5909848822593,5.50125633022552,38.5376760633405,0.522417482263967,11.1898046082303,0.345211611227025,0.356185359826464,NA,NA,NA,NA,NA,NA,NA
"M204",34,0.8,42.6,4.5,41.4,2.2,7.9,0.4,0.2,76.8,286,340,15,27,381,667
"M205",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M206",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M207",38,1.15475178376518,44.7659383569115,4.53533207055304,39.4529732693436,0.677090729226683,8.72668966076463,0.414379983079627,0.272844146355717,NA,NA,NA,NA,NA,NA,NA
"M208",32,1,44.6,4.4,38.8,1.8,8.9,0.2,0.3,81.5,NA,NA,NA,NA,NA,NA
"M209",29,0.6,37.6,6.8,43,1.8,9.5,0.3,0.4,81.5,477,337,25,32,395,872
"M21",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M210",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M211",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M212",25,0.8,43,5.3,38,1.7,10.7,0.2,0.4,83.2,110,172,11,17,200,310
"M213",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M214",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M215",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M216",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M217",25,0.8,38.5,7,40.9,1.7,10.5,0.3,0.4,82.2,273,237,15,39,292,565
"M218",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M219",20,1.1,41.3,5.4,38.5,1.9,10.7,0.4,0.7,85.6,188,216,15,48,280,468
"M22",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M220",23,0.6,37.9,5.8,41.7,1.7,11.7,0.2,0.4,83.3,208,237,10,23,271,478
"M221",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M222",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M223",35,0.8,39.1,5.8,42.7,1.3,9.3,0.4,0.5,78.5,655,972,146,277,1394,2049
"M224",34,0.6,41.7,5.8,42.4,0.6,8.2,0.3,0.4,84,120,292,23,88,403,523
"M225",27,0.2,28.5,9.5,53.2,0,7.8,0.3,0.5,83,274,871,55,193,1119,1394
"M226",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M227",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M228",26,1.1,45.5,4.6,35.2,1.3,11.8,0.3,0.3,86.1,157,205,28,50,283,440
"M229",17,1.3,49.1,4.4,31.5,1.3,11.8,0.3,0.3,NA,122,218,42,56,315,438
"M23",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M230",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M231",30,0.5,40.6,5.7,41.9,1.3,9.5,0,0.5,NA,156,194,37,32,263,418
"M232",22,0.4,37.9,6.2,43.9,1.1,9.7,0.3,0.5,NA,144,294,40,67,401,545
"M233",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M234",24,0.463883068468674,39.4483613977728,5.31739448209611,45.1206799737866,0.600273199631326,8.29616067965111,0.238002398275055,0.515244800318323,NA,NA,NA,NA,NA,NA,NA
"M235",20,0.249235062557948,31.7108024415501,5.93040825377372,50.1918957261809,0.564887427824714,10.6236886284165,0.315828315821385,0.413254143874763,NA,NA,NA,NA,NA,NA,NA
"M236",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M237",23,0.416156165141537,40.3554849709644,4.66732968977111,45.8873972363958,0.679199084204766,7.29306557605852,0.334898299910435,0.366468977553515,NA,NA,NA,NA,NA,NA,NA
"M238",23,0.514121798166984,42.7230998624607,4.94928498357736,42.3513115099406,0.609466345830716,8.3302168322512,0.158596329950412,0.363902337822007,NA,NA,NA,NA,NA,NA,NA
"M239",23,0.281984355198972,35.352325167308,7.94779213803514,46.601224564073,0.390222182578194,8.76191199823365,0.208897666627009,0.455641927946022,NA,NA,NA,NA,NA,NA,NA
"M24",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M240",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M241",31,0.5,36.3,6.5,48.5,1.4,6.2,0.3,0.4,81.5,798,782,84,193,1059,1857
"M242",33,0.2,29.1,8.1,53.8,0.6,7.6,0.2,0.4,81.1,416,252,47,92,391,807
"M243",24,0.4,41.6,6.1,42.1,0.7,8.7,0.1,0.5,NA,188,248,68,72,387,575
"M244",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M245",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M246",22,0.5,39.5,6.7,42.1,1.8,8.8,0.3,0.4,85.2,488,252,19,40,311,799
"M247",42,0.6,41.2,5.3,40.2,2,9.9,0.4,0.3,75.3,550,640,54,67,761,1311
"M248",37,0.3,33,7.3,50.9,1.9,6,0.3,0.3,78.6,1338,455,63,110,628,1965
"M249",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M25",41,0.7,41.6,4.5,42.1,0.6,9.9,0.4,0.3,67.6,115,60,52,34,146,261
"M250",34,0.6,40.2,6.1,38.5,1.6,12.2,0.3,0.4,NA,111,202,16,28,246,357
"M251",45,1.1,47.7,4.3,33.5,1.6,11,0.3,0.5,76.3,178,272,15,23,309,488
"M252",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M253",25,0.6,40.6,5.9,40.2,1.7,10.4,0.3,0.3,81.8,277,281,17,27,326,602
"M254",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M255",30,0.5,37.9,4.5,47.6,1.8,7.1,0.2,0.4,83.2,123,120,7,28,155,278
"M256",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
