code_nirs,tlip%MS,set
M146-P407-L39-A6,88.01054728477756,set3
M147-P407-L33-A6,85.17601774663507,set3
M151-P407-L40-A10,84.6831561394489,set3
M152-P407-L38-A10,86.49145137964015,set3
M155-P407-39-A15,85.51678000000578,set3
M162-P407-L38-A7,88.03143954239604,set3
M165-P407-L30-A15,71.17865078976575,set3
M166-P407-L39-A9,85.8548304316192,set3
M167-P407-L38-A9,83.90693610973571,set3
M168-P407-L39-A8,89.32140376683485,set3
M176-P407-L31-A16,73.51730294240244,set3
M180-P407-L31-A14,84.09116440092386,set3
M186-P407-L20-A11,77.64924630053648,set3
M188-P407-L20-A4,86.24933439132818,set3
M195-P407-L22-A12,87.58076444329757,set3
M197-P407-L21-A12,84.90514955773061,set3
M199-P407-L23-A2,84.95630598675744,set3
M201-P407-L28-A10,82.9039010924046,set3
M203-P407-L24-A7,87.41980182282818,set3
M207-P407-L29-A16,79.63292836112883,set3
M234-P323-L16-A16,86.91749562814242,set3
M235-P323-L20-A19,88.22759810150885,set3
M237-P323-L20-A10,88.29175393883509,set3
M238-P323-L20-A2,89.39863179525344,set3
M239-P323-L16-A25,86.47014024890684,set3
M264-P407-L16-A2,86.4224851110173,set3
M268-P407-L15-A4,84.75970403039842,set3
M270-P407-L16-A5,84.44923690761146,set3
M273-P407-L16-A3,78.21000566144136,set3
M283-P407-L12-A10,85.28973172243829,set3
M284-P407-L14-A7,87.29759285177758,set3
M286-P407-L14-A2,89.78684845067102,set3
M287-P407-L10-A7,81.25374470163052,set3
M288-P407-L9-A5,83.73292916486795,set3
M291-P407-L8-A7,85.74587611732656,set3
M293-P407--L8-A12,88.47555402085737,set3
M298-P407-L10-A5,88.56671558001352,set3
M301-P407-L10-A6,79.982425323991,set3
M303-P407-L9-A11,78.20361806470802,set3
M305-P407-L10-A11,87.54591631214075,set3
M306-P407-L8-A11,86.50785260638062,set3
