"ech","C14.0","C16.0","C18.0","C18.1n9","C18.2","FFA(%)","trans.alpha.carotene","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene","lycopene","aT","aT3","gT3","dT3","total.T3","total.toco"
"1",0.718326633312438,40.8911603476447,5.36630085668952,40.6028945154675,10.7841630883416,8.11685665553347,358.10017906841,451.996309975947,48.0859847169266,106.063590707347,606.14588540022,964.24606446863,2.46610866290031,223.866383007101,257.071287861355,366.784652350947,38.6561634486689,662.512103660971,886.378486668072
"2",0.49409037578744,36.1585528731426,6.41190090010661,43.5128778019056,11.8719328330308,10.9050814927046,500.100485369522,560.202879927363,45.2463085108258,97.4196257726437,702.868814210832,1202.96929958035,9.74706965520495,417.469522541085,353.630711021913,502.610227462498,178.682753974269,1034.92369245868,1452.39321499977
"3",0.481444050775328,38.5846728161903,7.18224014029434,41.3015404212517,10.9397638106315,8.93774161800286,309.44886522359,415.342053480932,66.9072623559845,123.491663367824,605.74097920474,915.18984442833,2.50338226371039,179.831697258894,180.136112386179,325.482176763853,114.610846408956,620.229135558988,800.060832817882
"4",0.574560988897324,37.2759549887002,5.31651356688191,45.4718907767392,9.71872920081834,7.81586997653205,336.536076013165,424.465343825484,75.9127839532291,145.212161699818,645.590289478531,982.126365491696,2.66660792213614,271.557506843939,434.773097778989,569.796502428335,155.810752681456,1160.38035288878,1431.93785973272
"5",0.622202735955084,39.4442862720623,5.76352043107467,43.646337432888,9.05014321923064,9.21872216386174,330.739271792893,447.986759959985,57.3238976632278,127.66426700634,632.974924629554,963.714196422447,2.47513308089778,263.640218669254,316.359436064365,435.002992326923,149.282087478707,900.644515869995,1164.28473453925
"6",0.548641075718268,38.550195260001,5.51507235289069,44.1182149257185,9.67830411483838,9.20577191577125,292.365885546235,346.843005968173,46.6887490086525,82.8420381036106,476.373793080436,768.739678626672,1.64680185867647,320.491089356776,357.852488101044,615.749990433086,123.353433978278,1096.95591251241,1417.44700186918
"7",0.552224594701203,39.4727713736745,5.76676004181536,42.5994961159282,9.92686314743805,8.45479309799646,245.049532268874,276.223179552155,44.4826562446032,74.0150288344149,394.720864631173,639.770396900047,1.68866200899753,116.377585298238,154.91604501487,215.947636873644,0,370.863681888514,487.241267186752
"8",0.893269813218694,43.79338577562,4.70571730982604,38.3461569669961,10.3819165161416,6.47750165071456,669.562352028422,935.177904390668,138.589311932393,218.502535695578,1292.26975201864,1961.83210404706,15.7118636028957,339.314313228431,358.37980231668,288.431412994482,71.8780034232395,718.689218734401,1058.00353196283
"9",0.809170110516383,42.0780798175219,5.48227532578906,39.4561963954749,10.5212140284657,8.73655247635911,253.819088719801,344.131049192755,35.4449765825452,82.3349663048863,461.910992080187,715.730080799988,2.69483270640258,190.644152556825,255.226835145669,254.84294021131,87.9572727808558,598.027048137834,788.671200694659
"10",0.539859634791407,39.0067051574446,5.56571187860863,42.9082967208248,10.5033333704136,5.24023249619369,278.776941439889,391.140324237091,21.5928386015697,112.127973434451,524.861136273112,803.638077713001,1.87772601711374,124.561926740254,182.216426678213,390.353975055551,114.352511733262,686.922913467025,811.48484020728
