Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;485627;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.2135;0.0368;0.2726;0.0388;1.1925
2;358662;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.2154;0.039;0.0354;0.0329;1.0356
3;972643;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(2,3,15));0.187;0.0386;0.0958;0.0363;1.0696
4;498104;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 31));0.258;0.036;0.1943;0.0397;1.1332
5;300600;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 31));0.2783;0.0369;-0.239;0.0397;0.9137
6;569192;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.2752;0.0356;-0.4417;0.0445;0.8471
7;593860;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.2422;0.0376;-0.006;0.0377;1.0141
8;359231;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.2471;0.0378;-0.1576;0.0375;0.9453
9;883766;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,25));0.2459;0.0363;-0.0381;0.0451;0.9982
10;748203;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.2847;0.0379;-0.3713;0.033;0.8686
