Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;584498;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.6759;385.177;0.8526;226.8332;2.6495
2;985150;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 11));0.7452;347.5035;0.2464;457.2306;1.1717
3;512893;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 11));0.7502;339.3568;0.2226;515.6713;1.1535
4;536025;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.7509;334.193;0.6961;347.211;1.845
5;905242;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.706;350.7145;0.6179;439.8349;1.6453
6;900997;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.7581;338.3374;0.4384;412.9911;1.3572
7;375548;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 21));0.7584;329.3886;0.5219;433.124;1.4709
8;83233;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 21));0.7734;302.8514;0.4901;507.735;1.4244
9;144590;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.7234;340.904;0.6386;425.4827;1.6919
10;923964;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 25));0.6949;346.3385;0.7376;382.6245;1.9854
